<visual-box> = content-box | padding-box | border-box
<margin-width> = <length-percentage> | auto
margin	<margin-width>{1,4}	0	all elements except internal table elements, ruby base containers, and ruby annotation containers	no	refer to logical width of containing block	by computed value type	per grammar	see individual properties	
margin-bottom	<margin-width>	0	all elements except internal table elements, ruby base containers, and ruby annotation containers	no	refer to logical width of containing block	by computed value type	per grammar	the keyword auto or a computed <length-percentage> value	margin
margin-left	<margin-width>	0	all elements except internal table elements, ruby base containers, and ruby annotation containers	no	refer to logical width of containing block	by computed value type	per grammar	the keyword auto or a computed <length-percentage> value	margin
margin-right	<margin-width>	0	all elements except internal table elements, ruby base containers, and ruby annotation containers	no	refer to logical width of containing block	by computed value type	per grammar	the keyword auto or a computed <length-percentage> value	margin
margin-top	<margin-width>	0	all elements except internal table elements, ruby base containers, and ruby annotation containers	no	refer to logical width of containing block	by computed value type	per grammar	the keyword auto or a computed <length-percentage> value	margin
margin-trim	none | [ block || inline ] | [ block-start || inline-start || block-end || inline-end ]	none	block containers, multi-column containers, flex containers, grid containers	no	N/A	discrete	per grammar	a set of zero to four keywords indicating which sides to trim	
padding	<'padding-top'>{1,4}	0	all elements except: internal table elements other than table cells, ruby base containers, and ruby annotation containers	no	refer to logical width of containing block	by computed value type	per grammar	see individual properties	
padding-bottom	<length-percentage [0,∞]>	0	all elements except: internal table elements other than table cells, ruby base containers, and ruby annotation containers	no	refer to logical width of containing block	by computed value type	per grammar	a computed <length-percentage> value	padding
padding-left	<length-percentage [0,∞]>	0	all elements except: internal table elements other than table cells, ruby base containers, and ruby annotation containers	no	refer to logical width of containing block	by computed value type	per grammar	a computed <length-percentage> value	padding
padding-right	<length-percentage [0,∞]>	0	all elements except: internal table elements other than table cells, ruby base containers, and ruby annotation containers	no	refer to logical width of containing block	by computed value type	per grammar	a computed <length-percentage> value	padding
padding-top	<length-percentage [0,∞]>	0	all elements except: internal table elements other than table cells, ruby base containers, and ruby annotation containers	no	refer to logical width of containing block	by computed value type	per grammar	a computed <length-percentage> value	padding
