counter-increment	[ <counter-name> <integer>? ]+ | none	none	all elements	no	n/a	by computed value type	per grammar	the keyword none or a list, each item an identifier paired with an integer
<counter-name> = <identifier>
<reversed-counter-name> = reversed( <counter-name> )
counter-reset	[ <counter-name> <integer>? | <reversed-counter-name> <integer>? ]+ | none	none	all elements	no	n/a	by computed value type	per grammar	the keyword none or a list, each item an identifier or a reversed() function paired with an integer
counter-set	[ <counter-name> <integer>? ]+ | none	none	all elements	no	n/a	by computed value type	per grammar	the keyword none or a list, each item an identifier paired with an integer
list-style	<'list-style-position'> || <'list-style-image'> || <'list-style-type'>	see individual properties	list items	see individual properties	see individual properties	see individual properties	per grammar	see individual properties
list-style-image	<image> | none	none	list items	yes	n/a	discrete	per grammar	the keyword noneor the computed <image>
list-style-position	inside | outside	outside	list items	yes	n/a	discrete	per grammar	keyword, but see prose
list-style-type	<counter-style> | <string> | none	disc	list items	yes	n/a	discrete	per grammar	specified value
marker-side	match-self | match-parent	match-self	list items	yes	n/a	discrete	per grammar	specified keyword
